0FC1	NpcBanker	FULL_SPAWN	391.8514099121094	153.3668975830078	-1301.2379150390625	158	270	0	Р‘РЊР™РґС’4	184	Р‘РЊ}вЂ°вЂ¦в„–В­вЂўР™4В вЂ  	0 -- мартин иден (270)
0FC2	NpcBanker	FULL_SPAWN	2610.418212890625	158.13352966308594	1318.6248779296875	69	271	0		0		0		-- ральф лайон (271)
0FC3	NpcBanker	FULL_SPAWN	1879.408203125	155.58538818359375	-408.8763732910156	231	272	0															-- джек эванс (272)
0FC4	NpcBanker	FULL_SPAWN	2312.43505859375	155.4279327392578	-2382.40234375	83	273	0	7&вЂњCР 	224	7С†%Р¶В¶V&Р  Р‚  	0	-- брюс алвер (273)
0FC8	NpcBanker	FULL_SPAWN	-3343.3486328125	-343.4861755371094	-904.93994140625	67	277	0	7&вЂњCР 	224						-- томас гловер (277)
1050	NpcBanker	FULL_SPAWN	-2687.777587890625	402.84930419921875	2117.196044921875	82	274	0	7&вЂњCР 	224					-- чак уоллес (274)
1051	NpcBanker	FULL_SPAWN	1888.516357421875	402.8006591796875	3306.953125	96	275	0	7&вЂњC 	0		0			----------- саймон олди (275)
1052	NpcBanker	FULL_SPAWN	-2020.4998779296875	-108.77210235595703	477.63922119140625	125	276	0	Р°Р–drР 	220	Р°Р–С•Р”Р’Р¬Р¦РљРґ PР“  	0		-- пол мови (276)
11C5	NpcGuilder	FULL_SPAWN	3414.436279296875	159.57215881347656	-1642.1734619140625	216	480	15	npc68a         	12	npc_guilder 	1
11C7	NpcGuilder	FULL_SPAWN	260.4559631347656	158.23959350585938	-2354.72314453125	229	482	15	npc08          	12	npc_guilder 	1
11C8	NpcGuilder	FULL_SPAWN	2358.0439453125	158.32240295410156	-1059.76708984375	240	483	15	npc06          	12	npc_guilder 	1
11CA	NpcGuilder	FULL_SPAWN	1665.0186767578125	159.7759246826172	-2690.4296875	104	484	15	npc58          	12	npc_guilder 	1
11CB	NpcGuilder	FULL_SPAWN	3633.892822265625	159.50242614746094	-419.5963134765625	227	485	15	npc08          	12	npc_guilder 	1
11CC	NpcGuilder	FULL_SPAWN	1610.226318359375	159.7335968017578	245.7372589111328	175	486	15	npc59          	12	npc_guilder 	1
1259	NpcGuilder	FULL_SPAWN	116.67549896240234	161.03785705566406	115.14656066894531	142	481	15	npc07          	12	npc_guilder 	1
11CD	NpcGuilder	FULL_SPAWN	1250.2369384765625	159.8410186767578	1688.9322509765625	191	487	15	npc64          	12	npc_guilder 	1
11CE	NpcGuilder	FULL_SPAWN	3503.509521484375	159.8006591796875	2657.43701171875	212	488	15	npc64          	12	npc_guilder 	1
11CF	NpcGuilder	FULL_SPAWN	2249.26611328125	159.84823608398438	-3610.830322265625	141	489	15	npc29a         	12	npc_guilder 	1
11D1	NpcGuilder	FULL_SPAWN	2591.938720703125	159.84889221191406	835.3771362304688	44	490	15	npc08          	12	npc_guilder 	1
11D2	NpcGuilder	FULL_SPAWN	1005.8551635742188	159.82675170898438	1098.33447265625	0	491	15	npc80          	12	npc_guilder 	1
11D3	NpcGuilder	FULL_SPAWN	1717.7867431640625	159.39300537109375	-1688.206787109375	196	492	15	npc60e         	12	npc_guilder 	1
11D4	NpcGuilder	FULL_SPAWN	3138.568603515625	159.8350067138672	-2809.885498046875	118	493	15	npc68b         	12	npc_guilder 	1
11DC	NpcGuilder	FULL_SPAWN	-3682.344482421875	-341.5985107421875	-349.9907531738281	90	466	15	npc59          	12	npc_guilder 	1
11E0	NpcGuilder	FULL_SPAWN	-3740.2763671875	-341.8387451171875	838.5477905273438	197	469	15	npc29a         	12	npc_guilder 	1
11E3	NpcGuilder	FULL_SPAWN	-3755.33984375	-340.0186462402344	205.03024291992188	168	472	15	npc60e         	12	npc_guilder 	1
1267	NpcGuilder	FULL_SPAWN	-2900.09326171875	-339.2306213378906	-820.1717529296875	76	461	15	npc07          	12	npc_guilder 	1
1268	NpcGuilder	FULL_SPAWN	-3166.376708984375	-341.3946838378906	-2499.797607421875	188	462	15	npc08          	12	npc_guilder 	1
1269	NpcGuilder	FULL_SPAWN	-2435.60791015625	-336.08978271484375	-1859.1883544921875	130	463	15	npc06          	12	npc_guilder 	1
126A	NpcGuilder	FULL_SPAWN	-2197.087890625	-340.7877502441406	-2209.627197265625	227	464	15	npc58          	12	npc_guilder 	1
126B	NpcGuilder	FULL_SPAWN	-2635.80224609375	-342.11676025390625	-2455.07568359375	0	465	15	npc08          	12	npc_guilder 	1
126D	NpcGuilder	FULL_SPAWN	-3045.584228515625	-349.90826416015625	353.8952941894531	14	467	15	npc64          	12	npc_guilder 	1
1270	NpcGuilder	FULL_SPAWN	-3425.091552734375	-339.038330078125	598.9093627929688	142	470	15	npc08          	12	npc_guilder 	1
1271	NpcGuilder	FULL_SPAWN	-3030.3642578125	-340.3349609375	-2211.2060546875	21	471	15	npc80          	12	npc_guilder 	1
1273	NpcGuilder	FULL_SPAWN	-3328.563232421875	-341.006591796875	-1278.022705078125	114	473	15	npc68b         	12	npc_guilder 	1
1368	NpcQuestTitle	FULL_SPAWN	1883.09521484375	155.56777954101562	-397.6927490234375	183	400	0		16	npc_quest_title 	0
1369	NpcQuestTitle	FULL_SPAWN	2603.83251953125	157.52830505371094	1293.508544921875	0	401	0		16	npc_quest_title 	0
136A	NpcQuestDegree	FULL_SPAWN	2270.07080078125	159.30299377441406	575.78955078125	0	403	0		16	npc_quest_dgree 	0
136B	NpcQuestDegree	FULL_SPAWN	1923.2850341796875	159.60577392578125	-478.2733459472656	0	404	0		0		0
