1000 Замок захвачен недавно (налогов нет)
1001 Налог на землю: %d$
1002 Уплачен налог на землю.
1003 Налог на врата: %d$
1004 Уплачен налог на врата.
1005 Налог на скрижаль: %d$
1006 Уплачен налог на скрижаль.
1007 Налог на подземелья: %d$
1008 Уплачен налог на подземелья.
1090 Собрано налогов: %d$
1091 Снять

8000 Скрижаль замка Льеж
8200 Врата замка Льеж
8001 Скрижаль замка Фьеф
8201 Врата замка Фьеф
8002 Скрижаль замка Арис
8202 Врата замка Арис
8003 Скрижаль замка Латор
8203 Врата замка Латор
8004 Скрижаль замка Эйкум-кас
8204 Врата замка Эйкум-кас
8005 Скрижаль замка Гедеон
8205 Врата замка Гедеон
8006 Скрижаль замка Шателье
8206 Врата замка Шателье
8007 Скрижаль замка Туанод
8207 Врата замка Туанод
8008 Скрижаль замка Пельтье
8208 Врата замка Пельтье
8009 Скрижаль замка Каре-Рояль
8209 Врата замка Каре-Рояль
8010 Скрижаль замка Блессендор
8210 Врата замка Блессендор
8011 Скрижаль замка Терноваль
8211 Врата замка Терноваль
8012 Скрижаль замка Аммалаэль
8212 Врата замка Аммалаэль
8013 Скрижаль замка Каблак
8213 Врата замка Каблак
8014 Скрижаль замка Дэванагари
8214 Врата замка Дэванагари
8015 Скрижаль замка Сабулат
8215 Врата замка Сабулат
8016 Скрижаль замка Деффенсат
8216 Врата замка Деффенсат
8017 Скрижаль замка Айонат
8217 Врата замка Айонат
8018 Скрижаль замка Триумфалер
8218 Врата замка Триумфалер

8019 Скрижаль замка Багарнак
8219 Врата замка Багарнак
8020 Скрижаль замка Кабрад
8220 Врата замка Кабрад
8021 Скрижаль замка Сет
8221 Врата замка Сет
8022 Скрижаль замка Лендер
8222 Врата замка Лендер
8023 Скрижаль замка Келес
8223 Врата замка Келес
8024 Скрижаль замка Шепростан                              
8224 Врата замка Шепростан
8025 Скрижаль замка Оркобьен
8225 Врата замка Оркобьен
8026 Скрижаль замка Кануак
8226 Врата замка Кануак
8027 Скрижаль замка Алдарнон
8227 Врата замка Алдарнон
8028 Скрижаль замка Йонг
8228 Врата замка Йонг
8029 Скрижаль замка Элек
8229 Врата замка Элек
8030 Скрижаль замка Гавот
8230 Врата замка Гавот
8031 Скрижаль замка Кандур
8231 Врата замка Кандур

8032 Скрижаль замка Иммертель
8232 Врата замка Иммертель
8033 Скрижаль замка Нарцисс
8233 Врата замка Нарцисс
8034 Скрижаль замка Ранден
8234 Врата замка Ранден
8035 Скрижаль замка Ниргун
8235 Врата замка Ниргун
8036 Скрижаль замка Гелгивинн
8236 Врата замка Гелгивинн

8037 Скрижаль замка Иль-Суильи-Руа
8237 Врата замка Иль-Суильи-Руа

8090 Скрижаль города Анхельм
