01 Lottery ticket
03 lottery ticket
101 You've won %s.
102 There is no room for an item.
103 Your ticket didn't win.
104 Tickets must be in the inventory.

#60
01 Lottery ticket (Class 1)
02 lottery tickets (Class 1)
03 lottery ticket (Class 1)

#61
01 Lottery ticket (Class 2)
02 lottery tickets (Class 2)
03 lottery ticket (class 2)

#62
01 Lottery ticket (Class 3)
02 lottery tickets (Class 3)
03 lottery ticket (class 3)

#63
01 Lottery ticket (Class 4)
02 lottery tickets (Class 4)
03 lottery ticket (class 4)

#64
01 Lottery ticket (Class 5)
02 lottery tickets (Class 5)
03 lottery ticket (class 5)
