01 Biglietto della lotteria
03 biglietto della lotteria
101 Hai vinto %s.
102 Non c'è spazio per l'oggetto.
103 Il tuo biglietto non ha vinto.
104 I biglietti devono trovarsi nell'inventario.

#60
01 Biglietto della lotteria (classe 1)
02 biglietti della lotteria (classe 1)
03 biglietto della lotteria (classe 1)

#61
01 Biglietto della lotteria (classe 2)
02 biglietti della lotteria (classe 2)
03 biglietto della lotteria (classe 2)

#62
01 Biglietto della lotteria (classe 3)
02 biglietti della lotteria (classe 3)
03 biglietto della lotteria (classe 3)

#63
01 Biglietto della lotteria (Classe 4)
02 biglietti della lotteria (Classe 4)
03 biglietto della lotteria (Classe 4)

#64
01 Biglietto della lotteria (classe 5)
02 biglietti della lotteria (classe 5)
03 biglietto della lotteria (classe 5)
