01 Bilhete de loteria
03 bilhete de loteria
101 Você ganhou %s.
102 Não há espaço para o objeto.
103 O seu bilhete não ganhou.
104 Os bilhetes devem estar no inventário.

#60
01 Bilhete de loteria (classe 1)
02 bilhetes de loteria (classe 1)
03 bilhete de loteria (classe 1)

#61
01 Bilhete de loteria (classe 2)
02 bilhetes de loteria (classe 2)
03 bilhete de loteria (classe 2)

#62
01 Bilhete de loteria (classe 3)
02 bilhetes de loteria (classe 3)
03 bilhete de loteria (classe 3)

#63
01 Bilhete de loteria (classe 4)
02 bilhetes de loteria (classe 4)
03 bilhete de loteria (classe 4)

#64
01 Bilhete de loteria (classe 5)
02 bilhetes de loteria (classe 5)
03 bilhete de loteria (classe 5)
