# MBC command catalog for LLM lookup
# 366 modules, 6009 commands. One JSON object per line in mbc_commands.jsonl
# Read one module: Read Sphere.NetworkProtocol/mbc_commands.jsonl offset=<line> limit=<count>
# Grep: rg '"t":210,' Sphere.NetworkProtocol/mbc_commands.jsonl
# Grep: rg '"n":"TransformUpdate"' Sphere.NetworkProtocol/mbc_commands.jsonl
# Fields: t=module_tag m=module r=region h=handler c=cmd n=readable_name
#         s=source dir=C2S/S2C orig=catalog_name w=wire_schema sum=summary u=unpack
# tag	module	line	count
1	_main	1	7
2	_player	8	113
3	_ambc	121	1
4	_stat	122	2
5	_chat	124	3
6	_afix	127	1
10	purse	128	19
20	room1	147	15
30	virus	162	21
31	crystal	183	19
40	seed	202	19
42	crystal_attr_a	221	19
43	crystal_attr_b	240	19
44	crystal_attr_c	259	19
45	crystal_attr_d	278	19
46	x2_titul	297	19
47	x2_degree	316	19
48	x2_tit_degr	335	19
50	fb1	354	1
51	fb2	355	1
60	door1	356	17
61	door2	373	17
62	telep	390	16
63	telep1	406	15
64	telep2	421	15
65	entry	436	15
66	token	451	19
67	telep3	470	15
68	licence	485	19
69	telep4	504	15
70	incubator	519	15
71	telep5	534	17
72	tutomsg	551	16
80	cs_table	567	24
81	cs_gate	591	21
82	cs_chest	612	18
83	cs_knot	630	17
90	scroll	647	21
91	mg_rcp	668	19
95	quest	687	25
96	labyr	712	16
97	packet	728	19
98	doorc	747	16
100	fernbush	763	15
101	door_lk	778	17
102	telep6	795	15
103	telep7	810	15
104	token_pr	825	19
105	token_pr_cpy	844	20
106	island_pr	864	16
107	telep8	880	15
108	crystalc	895	19
109	crystalcattr	914	19
110	clanlicence	933	19
111	rilicense	952	19
112	rslicense	971	19
113	rglicense	990	19
114	rtlicense	1009	19
115	rdlicense	1028	19
116	goldpurse	1047	19
117	license_hr	1066	19
118	license_hrgt	1085	19
119	license_ph	1104	19
120	license_phgt	1123	19
121	pw_buff0	1142	19
122	pw_buff1	1161	19
123	pw_buff2	1180	19
124	pw_buff3	1199	19
126	town_table	1218	21
127	tokenst	1239	19
128	island_token	1258	19
129	pw_ability	1277	19
130	scroll_october	1296	20
131	quest2	1316	25
132	telep9	1341	15
133	rgllicense	1356	19
200	npc14	1375	22
201	npc29	1397	22
202	npc40	1419	19
203	npc47	1438	19
204	npc01	1457	24
205	npc06	1481	24
206	npc_virt	1505	20
207	npc55	1525	19
208	npc58	1544	24
209	npc59	1568	24
210	monster	1592	21
211	monsterf	1613	21
212	npc_guide	1634	17
213	npc_trader	1651	24
215	monsterc	1675	21
216	npc_guilder	1696	22
217	monsterq	1718	23
218	monsters	1741	21
219	monstern	1762	23
220	monsterh	1785	21
221	npc_questman	1806	19
222	monsterd	1825	21
223	monsterdf	1846	19
224	cs_guard	1865	21
225	npc_banker	1886	19
226	_bank	1905	25
227	fwks	1930	20
228	fwks2	1950	20
229	npc_gold	1970	24
235	st_expball	1994	19
236	item_bead	2013	19
237	npc_newyear	2032	20
238	npc_empty	2052	20
239	npc_tournament	2072	30
240	npc_collector	2102	20
241	item_letter	2122	19
300	crt02	2141	19
301	crt51	2160	19
302	crt03	2179	19
400	ct_bag	2198	22
401	ct_ubag	2220	22
402	ct_chest1	2242	18
403	ct_jar	2260	22
404	ct_sac_p	2282	22
405	ct_sac_s	2304	22
406	ct_chest2	2326	18
407	ct_mbag	2344	18
408	ct_chest3	2362	18
409	ct_mbook	2380	22
410	ct_rbook	2402	21
411	ct_mbook1	2423	21
412	ct_mbook2	2444	21
413	ct_mapbook	2465	22
414	ct_chest4	2487	18
415	ct_lab	2505	20
416	ct_cbag	2525	18
417	ct_chest5	2543	18
418	ct_barn	2561	23
419	ct_sac_m	2584	22
420	ct_chest6	2606	18
421	ct_chest7	2624	18
422	ct_bagd	2642	22
423	ct_mbook3	2664	21
